Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Positivos,,,,2024-01-24 00:12:21,2024-01-24 00:12:29,"8,369s",ERROR
,,,,,,,
Test Cases/Mercado Libre/Positivos/Oauth Carrier - iteraciones audience,,,,2024-01-24 00:12:21,2024-01-24 00:12:25,"3,463s",ERROR
"Response = sendRequest(findTestObject(""Desarrollo ML/Oauth Carrier - iteración"", [""audience"":userglobalcorrecto]))",,,,2024-01-24 00:12:22,2024-01-24 00:12:25,"2,474s",PASSED
print(Response.getResponseText()),,,,2024-01-24 00:12:25,2024-01-24 00:12:25,"0,007s",PASSED
"verifyResponseStatusCode(Response, codresponse)",,,,2024-01-24 00:12:25,2024-01-24 00:12:25,"0,090s",ERROR
,,,,,,,
Test Cases/Mercado Libre/Positivos/Oauth Carrier - iteraciones audience,,,,2024-01-24 00:12:25,2024-01-24 00:12:25,"0,393s",ERROR
"Response = sendRequest(findTestObject(""Desarrollo ML/Oauth Carrier - iteración"", [""audience"":userglobalcorrecto]))",,,,2024-01-24 00:12:25,2024-01-24 00:12:25,"0,360s",PASSED
print(Response.getResponseText()),,,,2024-01-24 00:12:25,2024-01-24 00:12:25,"0,000s",PASSED
"verifyResponseStatusCode(Response, codresponse)",,,,2024-01-24 00:12:25,2024-01-24 00:12:25,"0,000s",ERROR
,,,,,,,
Test Cases/Mercado Libre/Positivos/Oauth Carrier - iteraciones audience,,,,2024-01-24 00:12:25,2024-01-24 00:12:26,"0,367s",ERROR
"Response = sendRequest(findTestObject(""Desarrollo ML/Oauth Carrier - iteración"", [""audience"":userglobalcorrecto]))",,,,2024-01-24 00:12:25,2024-01-24 00:12:26,"0,332s",PASSED
print(Response.getResponseText()),,,,2024-01-24 00:12:26,2024-01-24 00:12:26,"0,000s",PASSED
"verifyResponseStatusCode(Response, codresponse)",,,,2024-01-24 00:12:26,2024-01-24 00:12:26,"0,008s",ERROR
,,,,,,,
Test Cases/Mercado Libre/Positivos/Oauth Carrier - iteraciones audience,,,,2024-01-24 00:12:26,2024-01-24 00:12:26,"0,412s",ERROR
"Response = sendRequest(findTestObject(""Desarrollo ML/Oauth Carrier - iteración"", [""audience"":userglobalcorrecto]))",,,,2024-01-24 00:12:26,2024-01-24 00:12:26,"0,356s",PASSED
print(Response.getResponseText()),,,,2024-01-24 00:12:26,2024-01-24 00:12:26,"0,000s",PASSED
"verifyResponseStatusCode(Response, codresponse)",,,,2024-01-24 00:12:26,2024-01-24 00:12:26,"0,010s",ERROR
,,,,,,,
Test Cases/Mercado Libre/Positivos/Oauth Carrier - iteraciones audience,,,,2024-01-24 00:12:26,2024-01-24 00:12:26,"0,343s",ERROR
"Response = sendRequest(findTestObject(""Desarrollo ML/Oauth Carrier - iteración"", [""audience"":userglobalcorrecto]))",,,,2024-01-24 00:12:26,2024-01-24 00:12:26,"0,311s",PASSED
print(Response.getResponseText()),,,,2024-01-24 00:12:26,2024-01-24 00:12:26,"0,000s",PASSED
"verifyResponseStatusCode(Response, codresponse)",,,,2024-01-24 00:12:26,2024-01-24 00:12:26,"0,017s",ERROR
,,,,,,,
Test Cases/Mercado Libre/Positivos/Oauth Carrier - iteraciones audience,,,,2024-01-24 00:12:26,2024-01-24 00:12:27,"0,371s",ERROR
"Response = sendRequest(findTestObject(""Desarrollo ML/Oauth Carrier - iteración"", [""audience"":userglobalcorrecto]))",,,,2024-01-24 00:12:27,2024-01-24 00:12:27,"0,325s",PASSED
print(Response.getResponseText()),,,,2024-01-24 00:12:27,2024-01-24 00:12:27,"0,000s",PASSED
