Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Positivos,,,,2024-01-23 23:54:54,2024-01-23 23:55:04,"9,332s",ERROR
,,,,,,,
Test Cases/Mercado Libre/Positivos/Oauth Carrier - iteraciones audience,,,,2024-01-23 23:54:55,2024-01-23 23:54:58,"3,570s",ERROR
"Response = sendRequest(findTestObject(""Desarrollo ML/Oauth Carrier - iteración"", [""audience"":userglobalcorrecto]))",,,,2024-01-23 23:54:56,2024-01-23 23:54:58,"2,479s",PASSED
print(Response.getResponseText()),,,,2024-01-23 23:54:58,2024-01-23 23:54:58,"0,017s",PASSED
"verifyResponseStatusCode(Response, response)",,,,2024-01-23 23:54:58,2024-01-23 23:54:58,"0,092s",ERROR
,,,,,,,
Test Cases/Mercado Libre/Positivos/Oauth Carrier - iteraciones audience,,,,2024-01-23 23:54:58,2024-01-23 23:54:59,"0,394s",ERROR
"Response = sendRequest(findTestObject(""Desarrollo ML/Oauth Carrier - iteración"", [""audience"":userglobalcorrecto]))",,,,2024-01-23 23:54:58,2024-01-23 23:54:59,"0,329s",PASSED
print(Response.getResponseText()),,,,2024-01-23 23:54:59,2024-01-23 23:54:59,"0,000s",PASSED
"verifyResponseStatusCode(Response, response)",,,,2024-01-23 23:54:59,2024-01-23 23:54:59,"0,006s",ERROR
,,,,,,,
Test Cases/Mercado Libre/Positivos/Oauth Carrier - iteraciones audience,,,,2024-01-23 23:54:59,2024-01-23 23:54:59,"0,351s",ERROR
"Response = sendRequest(findTestObject(""Desarrollo ML/Oauth Carrier - iteración"", [""audience"":userglobalcorrecto]))",,,,2024-01-23 23:54:59,2024-01-23 23:54:59,"0,284s",PASSED
print(Response.getResponseText()),,,,2024-01-23 23:54:59,2024-01-23 23:54:59,"0,001s",PASSED
"verifyResponseStatusCode(Response, response)",,,,2024-01-23 23:54:59,2024-01-23 23:54:59,"0,009s",ERROR
,,,,,,,
